Name_of_contig	scaffold_length	ONT_DNA_minimap2	PE_DNA_bowtie2	PE_RNA_hisat2	ONT_RNA_gmap	ONT_RNA_minimap2	GC_percentage
ONT_TR_PE_scaff_673	426071	108	109	159	36	34	34.8	
ONT_TR_PE_scaff_674	443743	96	96	311	20	19	36.8	
ONT_TR_PE_scaff_675	404264	101	94	629	42	39	35.9	
ONT_TR_PE_scaff_676	447005	121	115	197	5	5	35.1	
ONT_TR_PE_scaff_677	456605	113	107	269	35	31	36.5	
ONT_TR_PE_scaff_678	445580	66	60	55	6	2	34.8	
ONT_TR_PE_scaff_679	462290	96	91	436	60	61	36.4	
ONT_TR_PE_scaff_680	355845	104	97	492	53	51	36.7	
ONT_TR_PE_scaff_681	472821	104	99	692	53	49	37.3	
ONT_TR_PE_scaff_682	494844	107	105	346	16	15	37.4	
ONT_TR_PE_scaff_683	495372	108	102	1233	80	79	41.0	
ONT_TR_PE_scaff_684	499443	48	54	0	0	0	56.3	
ONT_TR_PE_scaff_685	512095	103	100	177	15	14	35.5	
ONT_TR_PE_scaff_686	515382	102	99	742	76	75	37.1	
ONT_TR_PE_scaff_687	519364	105	101	350	23	22	35.7	
ONT_TR_PE_scaff_688	525079	105	101	651	51	51	39.4	
ONT_TR_PE_scaff_689	545228	116	107	1084	69	66	42.5	
ONT_TR_PE_scaff_690	539179	107	99	1436	139	139	41.4	
ONT_TR_PE_scaff_691	583154	108	105	791	87	77	37.0	
ONT_TR_PE_scaff_692	590710	108	105	252	19	18	35.8	
ONT_TR_PE_scaff_693	605580	62	62	1	5	5	48.6	
ONT_TR_PE_scaff_694	615773	118	106	134	7	7	35.1	
ONT_TR_PE_scaff_695	651104	114	112	286	13	12	35.5	
ONT_TR_PE_scaff_696	651388	123	124	190	66	31	35.7	
ONT_TR_PE_scaff_697	658337	112	104	1097	96	97	39.0	
ONT_TR_PE_scaff_698	658390	105	97	1184	76	63	39.7	
ONT_TR_PE_scaff_699	712815	110	106	579	41	38	37.8	
ONT_TR_PE_scaff_700	721088	108	102	1264	74	73	40.5	
ONT_TR_PE_scaff_701	721468	110	108	245	26	25	35.1	
ONT_TR_PE_scaff_702	730316	108	103	930	56	54	38.0	
ONT_TR_PE_scaff_703	734289	110	102	1145	53	52	39.3	
ONT_TR_PE_scaff_704	652132	101	93	859	38	38	40.3	
ONT_TR_PE_scaff_705	749645	105	95	843	98	96	39.9	
ONT_TR_PE_scaff_706	765904	113	110	195	83	38	35.0	
ONT_TR_PE_scaff_707	814186	174	138	429	30	22	36.8	
ONT_TR_PE_scaff_708	794678	109	105	933	55	54	37.9	
ONT_TR_PE_scaff_709	818291	106	101	377	32	39	36.0	
ONT_TR_PE_scaff_710	877920	106	100	962	85	81	37.3	
ONT_TR_PE_scaff_711	818773	106	98	1038	70	69	40.2	
ONT_TR_PE_scaff_712	896648	119	111	171	17	16	35.3	
ONT_TR_PE_scaff_713	914114	106	102	982	66	66	39.8	
ONT_TR_PE_scaff_714	955289	108	105	313	29	28	36.8	
ONT_TR_PE_scaff_715	956342	106	99	1179	88	88	40.8	
ONT_TR_PE_scaff_716	989156	105	102	642	28	28	35.9	
ONT_TR_PE_scaff_717	961400	161	133	1158	88	80	40.3	
ONT_TR_PE_scaff_718	1014183	104	101	179	24	23	35.6	
ONT_TR_PE_scaff_719	1100161	106	100	1125	79	79	40.9	
ONT_TR_PE_scaff_720	1104983	107	99	1043	80	80	39.8	
ONT_TR_PE_scaff_721	1131895	42	47	0	1	1	56.1
ONT_TR_PE_scaff_722	1126189	107	98	1059	73	73	39.5	
ONT_TR_PE_scaff_723	1266661	109	105	870	60	56	37.0	
ONT_TR_PE_scaff_724	1281491	109	103	1209	86	83	39.9	
ONT_TR_PE_scaff_725	1303139	107	101	743	71	70	37.8	
ONT_TR_PE_scaff_726	1385764	104	96	1302	102	102	41.1	
ONT_TR_PE_scaff_727	1575109	110	108	343	25	25	36.3	
ONT_TR_PE_scaff_728	1692579	109	108	188	14	10	35.3	
ONT_TR_PE_scaff_729	1984340	107	104	478	37	32	36.3	
ONT_TR_PE_scaff_730	2023830	106	103	784	58	59	38.8	
ONT_TR_PE_scaff_731	2200462	106	100	1106	95	85	40.2	
ONT_TR_PE_scaff_732	2347102	109	105	515	34	32	36.5	
ONT_TR_PE_scaff_733	4041486	109	107	598	45	42	37.3	
