gene_id	Aphrocallistes_vastus	Oopsacas_minuta	Hyalonema_populiferum	Rosella_fibulata	Sympagella_nux	Euplectella_aspergillum	Amphidiscella_abyssalis	Aulocalyx_serialis	Bolosoma_cyanae	Caulophacus_discohexaster	Chaunoplectella_sp	Corbitella_sp	Eurete_sp	Farrea_occa	Farrea_similaris	Lanuginellinae_sp	Regadrella_okinoseana	Saccocalyx_tetractinus	Trychella_sp	Walteria_leuckarti	Amphimedon_queenslandica	Ephydatia_muelleri
346541at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
347600at33208	1	1	0	1	100	0.01	0	1	1	1	0.01	0	1	1	0.01	1	1	1	1	1	1	0
348449at33208	1	1	0	0.01	1	1	1	1	1	100	100	0	1	1	0	1	100	0	100	1	1	1
348544at33208	1	1	100	1	1	0.01	1	100	1	100	100	1	1	1	1	1	1	1	1	100	1	1
348761at33208	1	1	0	1	1	1	0	0.01	0.01	0.01	1	0	1	1	0	1	1	0	0.01	1	1	1
349064at33208	1	1	0	1	1	1	0	0.01	1	1	0	0	1	1	0	1	1	0.01	1	100	100	100
349627at33208	1	1	0.01	0	1	1	1	1	1	1	1	0.01	1	1	0.01	0.01	1	0.01	1	0.01	100	1
351226at33208	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	1	0	0.01	0	1	1
352600at33208	1	1	0	1	1	0.01	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
352854at33208	1	1	0	1	1	1	1	1	100	100	100	0.01	100	1	0.01	100	1	1	1	100	1	100
353286at33208	1	0.01	0	0	1	1	0.01	0.01	0.01	1	1	0.01	0.01	1	0.01	0.01	0.01	0.01	0.01	0.01	1	0
353768at33208	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	100
354829at33208	1	1	1	1	1	1	1	100	1	100	100	1	1	1	1	1	1	0.01	100	100	1	1
354949at33208	1	1	0	1	1	1	1	1	1	1	100	0.01	1	1	1	1	1	1	1	100	1	100
355210at33208	1	1	1	100	1	0.01	0	1	1	1	0.01	0	1	1	0	1	1	0.01	1	1	1	1
355739at33208	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	1	1	0.01
356175at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
356334at33208	1	1	0.01	0.01	1	0.01	0.01	1	0.01	1	1	0.01	1	1	0	1	1	0.01	1	0.01	1	0
356503at33208	1	1	0	1	100	1	1	100	1	1	1	0.01	1	1	1	1	1	1	1	1	1	1
357580at33208	1	1	0	1	1	0	0	1	1	1	1	0	1	1	0	0	100	1	1	1	0	100
359075at33208	1	1	0.01	0.01	0.01	0.01	0.01	1	0.01	1	1	0	1	1	0	0.01	1	0.01	0.01	1	0.01	1
359324at33208	1	1	0	1	0.01	0.01	0.01	1	100	1	1	1	1	100	0.01	1	1	1	100	1	100	1
359369at33208	1	1	0	1	100	0.01	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1
359532at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
360379at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
360753at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
361100at33208	1	1	0	1	1	1	1	1	1	100	100	0	1	1	1	1	1	1	1	100	1	1
361203at33208	1	1	100	0	1	1	0.01	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	1	1
361216at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
363634at33208	0	0	0	0	0	0	0.01	1	0.01	0	0.01	0	0.01	0	0	0	0.01	0	0.01	0	1	100
363840at33208	1	1	0	1	1	0	0	1	0	1	1	0	1	1	0	1	1	0.01	0.01	0.01	1	1
363851at33208	1	0.01	0	0	0	0.01	0	0	0.01	0.01	0.01	0	100	1	0	0	0.01	0	0.01	0.01	1	1
364383at33208	1	1	0.01	100	1	1	1	100	1	1	100	0	1	1	0	1	1	1	1	100	1	1
364694at33208	1	1	0.01	1	1	0.01	0.01	100	1	100	100	0	100	1	0.01	100	100	0.01	1	1	1	0
365323at33208	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	100	0
365561at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
365691at33208	1	1	0	0	1	0.01	0	1	1	1	1	0.01	1	1	0	1	1	0.01	1	1	1	1
366124at33208	1	1	0	1	0	0	1	100	1	1	100	0	1	1	0	0	100	0	1	100	1	1
366814at33208	1	1	0.01	1	1	1	0.01	1	1	1	1	0	1	1	0.01	1	100	1	1	1	100	1
366936at33208	1	1	1	1	1	1	1	100	1	1	100	100	100	1	100	1	100	1	1	100	1	1
367493at33208	1	1	0	0	1	0	0	1	100	1	1	0	1	100	0	1	100	0	1	0.01	1	1
367551at33208	1	1	0	0	0	0	1	100	1	1	0	0	1	1	0	0	1	1	1	1	1	100
367596at33208	1	1	0.01	0.01	0.01	0	0.01	1	0.01	1	1	0	1	1	0.01	1	100	0.01	0.01	0.01	1	1
367957at33208	1	1	0	1	1	0	0.01	1	1	1	1	0.01	1	1	0	1	1	0.01	1	1	1	1
368565at33208	1	1	0	1	1	1	1	1	1	1	1	0.01	100	1	0.01	1	100	0.01	100	1	1	0
368670at33208	1	1	0	1	1	0.01	0	1	100	100	100	0.01	1	1	0	100	100	0	1	1	1	1
368875at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	1	1
371241at33208	1	1	0	100	1	1	1	1	1	100	100	1	1	1	0.01	100	1	1	1	100	1	0
371297at33208	1	1	0.01	1	100	1	100	1	1	100	100	0.01	1	1	0.01	1	1	0.01	1	100	1	1
371526at33208	1	1	0	1	1	0.01	1	100	1	100	100	1	1	1	1	0.01	1	1	1	100	1	1
372257at33208	1	1	0	0	0.01	0.01	0.01	1	1	1	1	0.01	1	1	0	1	1	0.01	1	100	1	1
372707at33208	1	0.01	100	1	1	1	0.01	100	1	100	100	1	1	1	1	1	1	1	1	100	1	100
373040at33208	0.01	0	0	0.01	0.01	0	0.01	0.01	0.01	0.01	1	1	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1	1	0.01
376982at33208	1	1	1	1	1	1	1	100	100	100	100	0.01	1	1	1	1	1	1	1	100	1	1
378033at33208	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	1	0	0
378316at33208	1	1	0.01	1	1	0.01	0	1	1	100	1	0	1	1	0	1	1	0.01	1	1	1	1
378768at33208	1	1	0.01	1	1	0.01	1	100	100	100	100	1	1	1	1	1	1	1	1	100	1	100
378913at33208	1	1	0	1	1	0	1	100	100	100	100	1	100	1	0.01	100	100	1	100	100	1	0
379076at33208	1	1	0	1	1	0	0	1	0	1	1	0.01	1	1	0	1	1	1	1	1	1	1
379636at33208	1	1	0.01	1	1	1	1	100	1	1	100	0.01	100	1	0.01	1	100	1	1	100	1	1
379771at33208	1	1	0	0.01	1	0	0	1	1	0.01	1	0.01	1	1	0	1	1	0.01	100	1	1	0.01
380583at33208	1	1	0	0	1	0	1	1	1	100	1	0	0	1	0	1	1	1	1	1	1	1
381303at33208	1	1	0	0	0	0	1	1	1	0.01	1	0	1	1	0	1	1	1	1	0.01	1	1
382000at33208	1	0	0	1	0	0	0	1	1	1	0	0	1	0	0	1	1	0	1	1	1	100
382262at33208	1	1	1	1	1	0.01	1	1	1	1	1	0	1	1	0.01	1	1	0	1	100	1	100
382750at33208	1	1	0	0	0.01	0.01	0.01	1	0.01	1	1	0	1	1	0.01	1	100	0.01	0.01	0.01	0.01	1
383313at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
384187at33208	1	1	0.01	100	1	0.01	1	1	1	1	1	0.01	0.01	0.01	0	1	100	0.01	1	1	1	1
386666at33208	1	0.01	0	100	1	1	1	1	1	100	1	0	1	1	0.01	1	1	0.01	1	1	1	1
387079at33208	1	1	0	1	1	1	1	100	1	100	100	0	1	1	1	100	1	1	1	100	1	1
387117at33208	1	1	0	0	1	0	0	1	100	0	0	0	1	1	0	1	100	1	1	1	1	0
387878at33208	1	100	0	1	100	0.01	1	1	1	1	1	100	1	100	1	1	1	1	1	100	1	1
389367at33208	0	1	1	1	1	1	0.01	1	1	1	1	0.01	1	1	0	1	1	1	1	0.01	1	1
389527at33208	1	1	0.01	1	0.01	0.01	1	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
389570at33208	1	1	0	0	0.01	0.01	0.01	1	1	1	1	0	1	1	0	0.01	1	0.01	0.01	1	1	100
389591at33208	1	1	0	0	1	0	0	1	0.01	1	1	0.01	1	1	0	1	1	0.01	1	1	1	0.01
390192at33208	1	0.01	0	0.01	1	0	1	1	1	1	100	1	1	1	0.01	1	1	1	1	100	1	100
390402at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
391896at33208	1	1	0	1	1	1	0.01	1	1	0.01	1	0	1	1	0	1	1	0.01	1	1	1	1
393219at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
393291at33208	1	1	0	100	1	1	0	100	1	1	100	1	1	1	0.01	1	1	1	1	100	1	0
393419at33208	1	0.01	0	0.01	1	1	0	1	1	100	100	0	1	1	0	1	100	1	100	1	1	100
393895at33208	1	1	0.01	1	100	1	0.01	1	1	1	1	0.01	1	1	1	100	100	1	1	100	1	0
395147at33208	1	1	0.01	0	0.01	0	0	1	1	100	0.01	0	1	0.01	0	1	1	0.01	1	0.01	1	1
395183at33208	1	1	1	1	1	1	1	100	1	1	1	0	1	1	0.01	100	0	1	0	100	1	100
395556at33208	1	1	0	0	0.01	0	0	100	1	1	0.01	1	1	1	0	1	1	0	0.01	1	1	1
395919at33208	1	1	0	0	0.01	0	0	1	0	0.01	1	0	1	1	0	0	1	0	1	0.01	1	0
395948at33208	1	1	0	100	1	0	0	1	1	1	0.01	0	1	1	0	1	1	0	0.01	0	1	100
396237at33208	1	1	0	1	1	1	1	1	1	1	100	0	1	100	1	1	1	1	1	1	1	1
397019at33208	1	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	1	0	1	1
397659at33208	1	1	0	0	0	0	0.01	1	1	0.01	0	0	1	1	0	0.01	0.01	0	0.01	0.01	0.01	1
398013at33208	1	1	0	0.01	0.01	0.01	0.01	1	1	100	0.01	0	1	1	0	1	1	0.01	1	1	1	100
398202at33208	1	1	0	1	1	0.01	0.01	100	1	1	100	1	1	1	1	1	1	1	1	100	1	1
398607at33208	1	1	0.01	0	100	1	1	100	1	100	100	0.01	1	1	0	1	1	1	1	100	1	1
399092at33208	1	1	1	100	1	1	1	100	100	100	100	1	1	1	1	100	1	1	1	100	1	1
399439at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
400042at33208	1	1	0	0	1	1	1	1	1	100	0.01	1	1	1	0.01	1	100	1	1	100	1	1
401196at33208	0.01	0	0	0	0	0.01	0	0.01	0.01	0	0.01	0	0.01	0.01	0	0	0	0	0.01	0	1	1
401220at33208	1	1	0	1	1	0	0	1	1	100	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
401679at33208	1	0	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	1	1
401779at33208	1	1	0	1	1	1	1	1	1	100	1	0.01	1	1	1	1	1	1	1	100	1	1
403171at33208	1	1	0	0.01	1	1	0	1	1	1	1	0	1	1	0	1	1	0.01	1	0.01	1	0.01
403817at33208	1	1	0	1	1	0	0.01	100	1	1	100	1	100	0.01	0	1	0.01	0	100	1	1	1
404988at33208	1	1	0	1	1	0.01	1	100	1	1	1	0.01	1	1	0.01	1	1	0.01	100	1	1	1
405257at33208	1	1	0	1	1	0	0	1	0.01	1	1	0.01	1	1	0.01	1	1	0.01	0.01	1	1	1
406927at33208	1	1	0.01	0	1	0	0.01	0.01	1	1	1	1	1	1	0	1	1	0	1	1	1	100
407472at33208	1	1	0	0.01	0	0	0.01	1	1	1	0.01	0.01	1	1	0	1	100	0.01	1	1	1	100
409006at33208	1	1	0	1	1	0	0	1	1	100	1	0	100	1	0	100	1	0	1	0.01	1	1
409186at33208	1	0.01	0	0	0.01	0	0	0.01	0.01	0.01	0.01	0	0.01	1	0	0.01	1	0	0.01	0.01	1	0.01
411515at33208	1	1	0.01	1	100	0.01	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	1
411664at33208	0.01	0.01	0.01	0.01	1	0	0	0.01	0	0.01	0.01	0	0	0.01	0	0.01	0	0	0	0	1	100
411755at33208	1	1	0.01	1	1	1	0.01	1	100	0.01	1	0	1	1	0	1	100	1	1	1	1	1
412370at33208	0	0	0	0	0	0	0	0.01	0	0	0.01	0	0	0.01	0	0	1	0	0	1	1	1
412542at33208	1	1	0	1	100	0.01	0	100	1	1	1	0	1	1	0	1	100	0	1	1	1	0
412930at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
413334at33208	1	1	0	0	1	0	0	0.01	0.01	1	0.01	0	1	100	0	100	1	0.01	0.01	100	1	0
414001at33208	1	1	0.01	1	1	1	1	1	1	1	100	1	1	1	0	1	1	1	1	1	1	1
414571at33208	1	0	0	0.01	1	1	0.01	100	1	1	1	0.01	1	1	0.01	1	1	0	1	1	1	1
414579at33208	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	100	0	1	1	100	0
414603at33208	0	0.01	0	0.01	0	0	0.01	1	0.01	0.01	0.01	0	1	100	0	0	100	0	1	0.01	1	1
415618at33208	1	1	0	0	100	0.01	1	0	1	1	0	0	1	1	0	1	1	0	1	0	1	0
416175at33208	1	1	0	1	100	1	1	1	1	1	1	1	1	1	0.01	1	1	1	1	1	1	100
418979at33208	1	1	1	1	1	1	100	100	1	100	1	1	1	1	100	1	100	1	1	100	1	1
419502at33208	1	1	0.01	100	100	1	1	1	1	1	100	1	1	0.01	0.01	1	1	0.01	1	1	1	1
419914at33208	1	1	0	0.01	1	0	0	1	0	0	1	0	1	1	0	0	100	0	0	0	1	1
421396at33208	1	1	0	0.01	1	0.01	1	100	1	100	1	0.01	1	1	0.01	1	1	1	100	100	1	0
421685at33208	0.01	1	0	0.01	100	0.01	0.01	1	100	1	1	1	1	1	0.01	0.01	1	0	1	1	1	1
421732at33208	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	0
422158at33208	1	1	0	0	1	0	0	1	1	1	1	0	1	1	0	1	1	0	1	1	1	100
422751at33208	1	1	0	0	0	0	0	1	0.01	1	1	0	100	1	0.01	1	1	0.01	0.01	1	1	0.01
423799at33208	1	1	0	0.01	0.01	0	1	1	1	1	100	0.01	100	100	0.01	0.01	1	0.01	1	0.01	1	1
423848at33208	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
424392at33208	1	1	0	1	1	1	1	100	100	100	100	1	1	1	0	1	1	100	1	100	1	1
424569at33208	100	100	100	100	100	1	1	100	1	100	100	1	100	100	1	100	100	100	100	100	1	1
424646at33208	0.01	0.01	0	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	1	0.01	0	0.01	0.01	0.01	1	0.01	1	1
427349at33208	1	1	0.01	1	1	1	1	100	1	100	100	1	0.01	1	0	100	1	1	1	100	1	1
427789at33208	1	1	100	1	100	1	1	1	1	1	1	0.01	1	1	0.01	1	1	1	1	1	1	1
428202at33208	1	1	0.01	100	100	1	100	1	1	100	1	1	1	1	0.01	1	1	100	1	1	1	1
428754at33208	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	1	1	1	1	0	1	1
429011at33208	1	1	0	0	0.01	1	1	1	100	1	100	1	1	1	1	1	1	1	1	1	1	1
429274at33208	1	1	0	1	1	1	0	1	1	1	1	0	1	1	0	1	1	0	1	100	1	0
429751at33208	1	1	0	1	1	1	0.01	1	1	1	1	0.01	1	1	0	1	1	1	1	100	1	1
430701at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
432050at33208	1	1	100	100	1	0	100	100	100	100	100	1	100	100	0.01	100	100	100	100	100	1	1
432155at33208	1	1	0.01	0	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1
432287at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
432522at33208	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0
433216at33208	1	1	0	1	1	1	1	100	100	1	100	0	1	1	0.01	1	100	1	1	1	1	100
433606at33208	0	0	0	0	0	0	0	1	0	0	0.01	0	0	0	0	0	0.01	0	0	0	1	0
434068at33208	1	1	0	1	100	1	0.01	1	1	1	0.01	0	1	1	0	1	1	0.01	1	100	1	1
434863at33208	1	1	1	1	0.01	1	1	100	1	100	100	0.01	1	1	0.01	100	1	1	1	1	1	1
435253at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
435678at33208	1	1	0	0.01	0.01	0	0.01	1	1	1	0.01	0.01	1	1	0	1	1	0.01	1	0.01	1	1
435921at33208	1	1	1	0	1	1	1	0.01	0.01	1	1	1	1	1	0	1	1	1	1	1	1	1
435939at33208	0	0	0	0	0	0	0	0.01	0	1	1	0	0.01	0	0	0.01	1	0	0.01	1	0	0
436007at33208	1	1	0.01	100	1	1	100	1	1	1	1	100	1	1	0	1	1	100	1	1	1	100
436098at33208	0	0	0	0	0	0	0	0	0	0.01	0.01	0	0.01	0	0	0	0	0	0	0	0	0
436539at33208	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	1	0
437653at33208	1	1	0	0	1	0.01	0.01	1	1	1	1	1	1	1	0	100	1	0	1	100	1	1
438133at33208	1	1	0.01	100	100	0.01	0.01	100	100	100	100	1	100	100	0.01	100	100	1	100	100	1	1
438433at33208	1	1	1	100	1	100	1	100	100	100	100	1	100	100	100	100	100	1	1	100	1	100
438453at33208	1	1	0	1	100	1	0.01	1	1	1	1	0.01	100	1	0	0.01	100	1	1	1	1	100
439736at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
440195at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
440493at33208	1	1	0	0.01	1	1	0	1	0.01	1	0	0	100	1	0	1	1	0	1	1	0.01	0
441575at33208	1	1	0	0.01	0.01	0	0.01	1	0.01	1	0.01	0	1	1	0.01	1	1	0.01	1	0.01	1	0.01
442169at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
442203at33208	1	1	0.01	100	1	1	0.01	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	1	1	0.01
442823at33208	1	1	0.01	1	1	0.01	0.01	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	1	1
443305at33208	1	1	0.01	0.01	1	1	1	1	1	1	1	0.01	1	1	0.01	1	1	0.01	1	0.01	1	1
443518at33208	1	1	0.01	0.01	1	1	1	100	1	1	100	1	1	1	1	1	1	1	1	100	1	0
443659at33208	1	1	0	1	1	0	1	100	1	1	100	1	1	1	1	1	1	0	1	100	1	1
443928at33208	1	1	0	1	1	0.01	0.01	1	1	1	0.01	0.01	1	1	0.01	1	1	0.01	1	100	100	1
444160at33208	1	1	0.01	1	0.01	1	0.01	100	1	1	1	1	100	1	1	1	1	1	0.01	100	1	0
444231at33208	1	1	0	0	1	1	0.01	0.01	1	1	0	0.01	1	1	0	1	100	1	100	0.01	1	0.01
445031at33208	1	0	0	1	1	0	0	1	1	1	100	1	1	1	0	1	1	0	1	1	1	1
445034at33208	1	1	0	0	1	0	0	1	1	0	0	0	1	1	0	0.01	0.01	0	1	0	1	0.01
445091at33208	1	1	0	0	100	1	0.01	1	1	1	0.01	0	1	1	0	0.01	1	0.01	1	100	1	0.01
446000at33208	1	0	0	1	1	0	0.01	0.01	1	0	1	0	1	1	0	1	100	1	1	0.01	1	1
446031at33208	100	1	0	0.01	1	1	1	100	1	100	100	1	1	1	0.01	100	1	1	1	100	1	1
447320at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
447400at33208	1	1	0	1	1	1	1	1	1	100	100	1	100	1	0.01	100	1	0.01	100	100	0	1
448196at33208	1	1	0.01	1	1	0.01	1	100	1	1	1	0.01	1	1	0.01	0.01	100	0	1	100	1	1
448514at33208	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	1
449056at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
449139at33208	1	1	0	1	100	0	1	1	1	1	0	0	1	1	0	1	1	0	1	1	0	0
449189at33208	1	1	0	1	1	0.01	0.01	1	1	1	100	0.01	1	1	0.01	1	1	0.01	1	1	1	1
450643at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	1	1
450785at33208	1	1	0.01	1	1	1	0.01	100	1	1	100	0	100	1	0	1	1	0	1	100	1	1
451242at33208	1	1	0.01	1	1	1	1	100	1	100	100	0	1	1	1	1	1	0.01	1	1	1	1
451957at33208	1	1	0.01	1	1	1	0.01	1	1	1	0.01	0	1	1	0	1	1	0.01	1	1	1	1
452208at33208	1	1	0	1	1	1	1	100	1	100	100	1	1	1	0.01	100	1	1	1	100	1	0
452499at33208	0	1	0	0	1	0.01	1	100	1	100	100	1	1	1	0	1	1	1	1	100	1	1
452574at33208	1	1	0	0	1	1	0	1	1	1	1	0	1	1	0	1	100	0	1	1	1	1
453049at33208	0	1	0	0	1	1	1	1	0	0.01	0.01	0.01	1	1	0	0	1	1	1	0.01	100	1
453052at33208	1	1	0	1	1	0	0	100	0	1	0.01	0	1	1	0	0.01	1	0	0.01	1	0.01	1
453056at33208	1	1	0	1	1	1	1	100	1	1	100	0	1	1	0	1	1	1	1	100	1	1
453687at33208	1	1	0	1	1	0	0.01	1	1	1	1	0.01	100	1	1	100	100	1	100	1	1	1
454911at33208	1	1	0	0.01	100	0	0	0.01	1	1	0.01	0	1	1	0	1	1	0.01	1	0.01	1	0.01
455512at33208	1	1	0.01	1	0.01	0	0	1	1	100	1	0.01	100	1	0	1	1	0.01	1	1	1	100
455941at33208	1	1	1	1	1	1	1	100	1	1	1	1	100	1	1	1	100	1	1	1	100	1
456998at33208	1	1	0	0	100	0	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0
457777at33208	1	1	0.01	1	1	1	1	100	1	1	1	1	1	1	1	1	1	0.01	1	1	1	100
458807at33208	1	1	0.01	1	1	0	1	100	1	100	100	0	1	1	0	1	1	1	1	100	1	1
458974at33208	1	1	0.01	0.01	1	0.01	1	1	1	1	1	0	1	1	0	0.01	1	1	1	1	1	1
458988at33208	1	1	0	0.01	1	0	1	1	1	1	1	0	1	1	0.01	1	1	1	1	1	1	1
459253at33208	0	0	0	0	0	0	0	0	0	0	0	0	0.01	0	0	0	0	0	0.01	0	1	0
460044at33208	1	1	0	1	0.01	1	0.01	100	1	1	1	0.01	1	1	0	1	1	1	1	1	1	1
460518at33208	1	1	1	1	0.01	1	0	1	1	1	100	0	1	1	1	1	1	0	1	100	1	1
461123at33208	1	1	0.01	0.01	0.01	1	0.01	1	1	1	1	0.01	1	1	0	1	1	1	0.01	100	1	0.01
461193at33208	1	1	0	0.01	100	0.01	0.01	0.01	1	0.01	0.01	1	1	1	0	1	1	1	1	1	0.01	100
462325at33208	1	1	100	100	100	100	100	1	100	1	100	100	1	1	100	1	1	100	1	100	1	100
462897at33208	1	1	0	0	0.01	0.01	0.01	1	1	0.01	0.01	0.01	1	1	0	1	1	0	1	0.01	1	100
463071at33208	1	1	0	0	1	1	0	1	1	1	0	0	1	1	0	0	1	0	1	0	1	0
464204at33208	1	1	0	1	1	0	0	1	1	0	1	0	1	1	0	1	1	0	1	0	0	1
464243at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
464286at33208	1	1	0	1	1	0	1	1	1	1	100	0	1	1	0	1	100	0.01	1	1	1	100
464312at33208	1	1	0	1	1	0.01	1	1	1	100	100	0.01	1	1	0.01	1	1	0.01	1	100	1	1
464987at33208	1	1	0	1	1	1	1	100	1	1	1	0.01	1	1	0	1	100	1	100	1	0.01	100
465092at33208	1	1	0	0	1	0	1	1	1	1	1	0	1	1	0	1	1	1	1	0	1	1
465401at33208	1	1	0	0	0.01	1	0	0.01	1	0	0	0	1	1	0	1	1	1	1	0	100	1
465512at33208	1	1	0	1	0.01	0.01	0.01	1	0.01	1	100	0	1	1	0	1	100	0.01	1	1	1	1
465651at33208	1	1	0	1	1	0	0.01	100	1	1	1	1	1	1	0	1	1	0.01	1	1	0.01	0
465703at33208	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
465933at33208	1	1	0	1	1	1	0.01	1	1	1	100	0.01	1	1	0	1	1	0	1	1	1	1
466616at33208	1	1	0	0.01	100	0.01	1	0.01	1	100	1	0.01	100	1	0.01	1	1	0.01	1	100	1	1
466942at33208	1	1	0	1	1	0.01	1	1	1	1	1	0.01	1	1	0	1	1	0.01	1	1	1	0.01
467106at33208	1	1	0.01	1	100	1	1	1	1	0.01	0.01	0.01	1	1	0.01	1	1	0.01	1	1	1	1
467142at33208	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01	1	1
467744at33208	1	1	0	1	1	0	1	100	1	1	1	0	1	1	1	1	1	1	1	100	1	1
468248at33208	1	1	0	0	1	1	0.01	100	100	1	100	1	1	1	0.01	1	1	0.01	100	100	1	1
468359at33208	0	1	0.01	1	1	0	1	1	1	1	1	1	1	1	0.01	1	1	1	1	1	1	0
468631at33208	1	1	1	0	1	0.01	0	1	1	1	1	0.01	1	1	0	1	100	0.01	100	1	1	1
468710at33208	1	1	0	1	1	0	1	0	1	1	1	0	1	1	0	1	1	0	1	0	1	0
468757at33208	1	1	1	0.01	1	1	0.01	1	1	100	1	0.01	1	1	0.01	100	1	1	1	1	1	1
469367at33208	1	1	0.01	1	1	1	0.01	1	1	100	1	0.01	1	1	0.01	1	1	0.01	1	1	1	100
470197at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
470523at33208	1	1	0.01	1	0.01	0	0.01	1	0.01	1	1	0	1	1	0	1	1	0.01	0.01	1	1	0
471608at33208	1	1	0	0.01	1	0.01	1	100	1	1	1	0	1	1	0	1	1	0.01	0.01	100	1	1
471787at33208	1	1	0	0	0.01	0	0.01	100	1	1	1	0	1	1	0	1	1	0	1	1	1	0.01
472313at33208	1	1	0.01	1	100	1	1	100	1	1	100	0.01	1	1	0	1	100	1	1	100	1	1
472352at33208	1	1	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	1	0	1	1
473106at33208	1	1	0.01	1	1	1	0.01	1	1	1	1	0	1	1	0.01	1	1	0.01	1	1	1	1
474144at33208	1	1	1	1	1	0.01	1	100	1	100	100	1	100	1	100	100	100	100	100	100	1	1
474302at33208	1	0	0	1	1	0	0	0	0	1	0	0	1	1	0	0	1	0	1	0	1	0
474387at33208	1	1	0	0.01	0	0	0	1	1	0.01	0.01	0	1	1	0	0	1	0	1	1	0.01	1
475826at33208	1	0	0	1	1	1	0	1	1	1	0	1	1	1	0	1	1	1	1	100	1	1
476036at33208	0.01	1	0.01	1	1	1	0.01	1	1	100	1	0.01	1	1	0.01	100	100	1	100	100	1	1
477052at33208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1
