Dynamin_N            PF00350.23   168 Avas.s075.g1.i1      -            521     0.071   13.2   0.0   3   3       4.1     1e+04   -3.6   0.0    62    95   155   186   145   194 0.61 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g360.i1    -            546   4.2e-15   55.6   3.5   1   2   1.7e-14   7.8e-11   41.7   0.2     3   171    33   230    31   241 0.81 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g360.i1    -            546   4.2e-15   55.6   3.5   2   2   6.3e-06     0.028   13.7   0.4    74   206   308   440   287   449 0.67 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g360.i1    -            546   0.00016   21.8   0.0   1   1   8.6e-08   0.00039   20.5   0.0     3    58    34   105    32   204 0.68 50S ribosome-binding GTPase
PIN_5                PF08745.11   206 Avas.s022.g360.i1    -            546     0.041   13.3   0.1   1   1   1.7e-05     0.076   12.4   0.1    15    74   396   455   390   470 0.83 PINc domain ribonuclease
EF-hand_7            PF13499.6     71 Avas.s022.g360.i1    -            546     0.099   13.1   1.2   1   2    0.0089        40    4.8   0.0    15    50   140   197   133   200 0.66 EF-hand domain pair
EF-hand_7            PF13499.6     71 Avas.s022.g360.i1    -            546     0.099   13.1   1.2   2   2    0.0037        17    6.0   0.2    10    57   419   464   418   493 0.80 EF-hand domain pair
AIG1                 PF04548.16   212 Avas.s077.g4.i1      -            544   7.5e-16   58.1   1.0   1   2   1.8e-15   1.6e-11   44.0   0.1     3   181    37   244    35   255 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s077.g4.i1      -            544   7.5e-16   58.1   1.0   2   2   1.1e-05       0.1   11.9   0.1    81   202   319   440   291   450 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s077.g4.i1      -            544   3.4e-05   23.9   0.0   1   1   9.2e-09   8.3e-05   22.7   0.0     3    86    38   144    36   179 0.65 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s077.g8.i1      -            492   3.5e-08   33.0   0.9   1   3   1.4e-06     0.013   14.9   0.0     3    43    54    96    52   104 0.78 AIG1 family
AIG1                 PF04548.16   212 Avas.s077.g8.i1      -            492   3.5e-08   33.0   0.9   2   3    0.0064        57    2.9   0.0   132   181   143   192   127   203 0.82 AIG1 family
AIG1                 PF04548.16   212 Avas.s077.g8.i1      -            492   3.5e-08   33.0   0.9   3   3   9.5e-06     0.085   12.2   0.1    81   202   267   388   239   398 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s077.g8.i1      -            492    0.0035   17.4   0.0   1   1   9.6e-07    0.0086   16.1   0.0     3    43    55    99    53   153 0.88 50S ribosome-binding GTPase
AIG1                 PF04548.16   212 Avas.s022.g365.i1    -            544   2.1e-14   53.4   6.1   1   2   1.2e-11   5.4e-08   32.4   1.5     3   180    22   239    20   245 0.70 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g365.i1    -            544   2.1e-14   53.4   6.1   2   2   2.1e-07   0.00092   18.6   0.2    68   199   299   433   286   449 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g365.i1    -            544     0.002   18.2   0.0   1   1   1.3e-06    0.0059   16.7   0.0     3    86    23   129    21   157 0.61 50S ribosome-binding GTPase
AAA_29               PF13555.6     61 Avas.s022.g365.i1    -            544      0.15   11.9   0.5   1   1   6.6e-05       0.3   10.9   0.5    20    38    17    35     1    44 0.76 P-loop containing region of AAA domain
DUF87                PF01935.17   227 Avas.s022.g365.i1    -            544       5.1    7.1   7.0   1   3    0.0004       1.8    8.6   0.0    21    46    17    42     6    49 0.87 Helicase HerA, central domain
DUF87                PF01935.17   227 Avas.s022.g365.i1    -            544       5.1    7.1   7.0   2   3     0.078   3.5e+02    1.1   0.5    97   196   144   239   125   340 0.69 Helicase HerA, central domain
DUF87                PF01935.17   227 Avas.s022.g365.i1    -            544       5.1    7.1   7.0   3   3      0.37   1.7e+03   -1.1   0.2   120   181   383   456   355   479 0.52 Helicase HerA, central domain
AIG1                 PF04548.16   212 Avas.s022.g354.i1    -            362   4.3e-05   22.9   1.9   1   2     0.001         9    5.6   0.3   121   177     2    67     1    76 0.66 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g354.i1    -            362   4.3e-05   22.9   1.9   2   2   3.6e-07    0.0033   16.8   0.1    69   198   131   263   117   279 0.69 AIG1 family
PIN_5                PF08745.11   206 Avas.s022.g354.i1    -            362     0.086   12.2   0.9   1   2      0.44   3.9e+03   -3.0   0.1    13    55    22    64    19    72 0.63 PINc domain ribonuclease
PIN_5                PF08745.11   206 Avas.s022.g354.i1    -            362     0.086   12.2   0.9   2   2   1.5e-05      0.13   11.6   0.1    12    67   224   279   221   299 0.83 PINc domain ribonuclease
AIG1                 PF04548.16   212 Avas.s022.g494.i1    -            362   3.2e-06   26.6   1.9   1   2     0.001         9    5.6   0.3   121   177     2    67     1    76 0.66 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g494.i1    -            362   3.2e-06   26.6   1.9   2   2   2.7e-08   0.00024   20.5   0.1    69   198   131   263   117   279 0.69 AIG1 family
PIN_5                PF08745.11   206 Avas.s022.g494.i1    -            362     0.087   12.2   0.9   1   2      0.44   3.9e+03   -3.0   0.1    13    55    22    64    19    72 0.63 PINc domain ribonuclease
PIN_5                PF08745.11   206 Avas.s022.g494.i1    -            362     0.087   12.2   0.9   2   2   1.5e-05      0.13   11.6   0.1    12    67   224   279   221   299 0.83 PINc domain ribonuclease
AIG1                 PF04548.16   212 Avas.s001.g354.i1    -            582   1.2e-13   50.9   6.6   1   3   6.1e-13   2.7e-09   36.6   0.4     2   137    31   191    30   200 0.78 AIG1 family
AIG1                 PF04548.16   212 Avas.s001.g354.i1    -            582   1.2e-13   50.9   6.6   2   3     0.029   1.3e+02    1.8   0.1   125   172   220   271   216   286 0.68 AIG1 family
AIG1                 PF04548.16   212 Avas.s001.g354.i1    -            582   1.2e-13   50.9   6.6   3   3   8.3e-06     0.037   13.3   0.1    82   205   356   479   338   486 0.75 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s001.g354.i1    -            582    0.0035   17.4   0.0   1   1   1.6e-06    0.0074   16.4   0.0     3    86    33   141    31   175 0.58 50S ribosome-binding GTPase
RsgA_GTPase          PF03193.16   167 Avas.s001.g354.i1    -            582     0.016   15.1   0.0   1   1   1.2e-05     0.053   13.4   0.0    94   165    24   109     5   111 0.67 RsgA GTPase
Tetrabrachion        PF11401.8     49 Avas.s001.g354.i1    -            582      0.13   12.3   1.1   1   2    0.0067        30    4.7   0.1    19    32   240   253   226   261 0.81 Tetrabrachion
Tetrabrachion        PF11401.8     49 Avas.s001.g354.i1    -            582      0.13   12.3   1.1   2   2    0.0046        20    5.3   0.1    19    43   268   292   262   294 0.93 Tetrabrachion
AIG1                 PF04548.16   212 Avas.s022.g410.i1    -           1114   1.3e-14   54.0  18.9   1   5   8.3e-12   3.7e-08   33.0   0.2     2   132    28   181    27   193 0.77 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g410.i1    -           1114   1.3e-14   54.0  18.9   2   5     0.035   1.6e+02    1.5   0.3   126   178   227   283   225   318 0.81 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g410.i1    -           1114   1.3e-14   54.0  18.9   3   5   5.7e-07    0.0026   17.1   0.7    77   206   357   486   332   492 0.73 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g410.i1    -           1114   1.3e-14   54.0  18.9   4   5     0.042   1.9e+02    1.3   0.0   112   168   563   619   545   652 0.80 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g410.i1    -           1114   1.3e-14   54.0  18.9   5   5   0.00013       0.6    9.4   0.4    80   182   755   868   736   898 0.73 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g410.i1    -           1114   0.00047   20.2   0.0   1   2     1e-06    0.0045   17.0   0.0     3    86    30   138    28   172 0.59 50S ribosome-binding GTPase
MMR_HSR1             PF01926.23   114 Avas.s022.g410.i1    -           1114   0.00047   20.2   0.0   2   2      0.37   1.7e+03   -0.9   0.0    72   101   753   781   729   793 0.68 50S ribosome-binding GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g410.i1    -           1114     0.025   14.5   0.0   1   1     3e-05      0.13   12.1   0.0    83   127     8    54     3    71 0.77 RsgA GTPase
SIN1                 PF05422.12   142 Avas.s022.g410.i1    -           1114      0.24   12.0   9.2   1   2   8.9e-06      0.04   14.5   3.5    54   138   181   265   174   268 0.91 Stress-activated map kinase interacting protein 1 (SIN1)
SIN1                 PF05422.12   142 Avas.s022.g410.i1    -           1114      0.24   12.0   9.2   2   2       1.8   7.9e+03   -2.7   0.3   103   108   857   870   829   901 0.47 Stress-activated map kinase interacting protein 1 (SIN1)
AIG1                 PF04548.16   212 Avas.s022.g370.i1    -            539   6.6e-14   51.7   7.0   1   2   2.5e-12   1.5e-08   34.2   3.4     2   180    27   238    26   267 0.76 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g370.i1    -            539   6.6e-14   51.7   7.0   2   2   3.1e-07    0.0018   17.6   0.1    62   203   296   436   286   445 0.71 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g370.i1    -            539    0.0026   17.8   0.0   1   1   1.1e-06    0.0065   16.5   0.0     3    86    29   138    27   173 0.61 50S ribosome-binding GTPase
Dynamin_N            PF00350.23   168 Avas.s022.g370.i1    -            539     0.076   13.1   5.0   1   3     0.002        12    5.9   1.9     2    20    29    47    28    49 0.92 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g370.i1    -            539     0.076   13.1   5.0   2   3     0.029   1.7e+02    2.1   0.0    90   147    81   146    61   155 0.75 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g370.i1    -            539     0.076   13.1   5.0   3   3     0.013        77    3.3   0.0    29   102   163   242   152   246 0.71 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g421.i1    -            651   7.4e-09   35.2   4.6   1   3     0.023   2.1e+02    1.1   0.0   113   132   119   138   113   164 0.80 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g421.i1    -            651   7.4e-09   35.2   4.6   2   3   2.2e-09     2e-05   24.0   1.0    46   179   202   349   179   364 0.80 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g421.i1    -            651   7.4e-09   35.2   4.6   3   3   6.4e-05      0.57    9.5   0.1    77   204   422   549   398   557 0.75 AIG1 family
POTRA                PF07244.15    80 Avas.s022.g421.i1    -            651      0.13   12.8   2.8   1   4    0.0018        16    6.2   0.0     5    29    13    37    10    62 0.83 Surface antigen variable number repeat
POTRA                PF07244.15    80 Avas.s022.g421.i1    -            651      0.13   12.8   2.8   2   4      0.61   5.5e+03   -2.0   0.0    44    61   267   285   255   327 0.63 Surface antigen variable number repeat
POTRA                PF07244.15    80 Avas.s022.g421.i1    -            651      0.13   12.8   2.8   3   4     0.017   1.6e+02    3.0   0.1     6    41   357   393   356   397 0.90 Surface antigen variable number repeat
POTRA                PF07244.15    80 Avas.s022.g421.i1    -            651      0.13   12.8   2.8   4   4      0.25   2.3e+03   -0.7   0.1     9    34   534   558   521   592 0.61 Surface antigen variable number repeat
AIG1                 PF04548.16   212 Avas.s022.g385.i1    -            527   7.3e-13   48.3   6.0   1   2   6.4e-13   2.3e-09   36.9   2.1     2   143    18   181    17   228 0.73 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g385.i1    -            527   7.3e-13   48.3   6.0   2   2   1.9e-05      0.07   12.4   0.1    76   201   297   422   280   433 0.75 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g385.i1    -            527   0.00016   21.7   0.0   1   1   9.7e-08   0.00035   20.6   0.0     3    86    20   127    18   163 0.61 50S ribosome-binding GTPase
GTP_EFTU             PF00009.27   194 Avas.s022.g385.i1    -            527    0.0042   16.6   0.4   1   3   9.8e-06     0.035   13.6   0.0     4    86    17    99    16   108 0.78 Elongation factor Tu GTP binding domain
GTP_EFTU             PF00009.27   194 Avas.s022.g385.i1    -            527    0.0042   16.6   0.4   2   3      0.48   1.7e+03   -1.7   0.0   126   154   158   219   149   317 0.60 Elongation factor Tu GTP binding domain
GTP_EFTU             PF00009.27   194 Avas.s022.g385.i1    -            527    0.0042   16.6   0.4   3   3      0.16   5.6e+02   -0.1   0.0   136   179   395   522   343   527 0.64 Elongation factor Tu GTP binding domain
MyTH4                PF00784.17   108 Avas.s022.g385.i1    -            527     0.072   13.6   0.5   1   2   0.00038       1.4    9.5   0.1     9    56    88   135    82   177 0.87 MyTH4 domain
MyTH4                PF00784.17   108 Avas.s022.g385.i1    -            527     0.072   13.6   0.5   2   2     0.098   3.5e+02    1.7   0.0    45    89   467   526   463   527 0.72 MyTH4 domain
Dynamin_N            PF00350.23   168 Avas.s022.g385.i1    -            527      0.77    9.8   7.3   1   4    0.0017       6.2    6.9   0.7     2    21    20    39    19    51 0.90 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g385.i1    -            527      0.77    9.8   7.3   2   4    0.0061        22    5.1   0.1    99   147    79   135    41   163 0.80 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g385.i1    -            527      0.77    9.8   7.3   3   4      0.31   1.1e+03   -0.5   0.0    33   103   156   231   136   234 0.59 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g385.i1    -            527      0.77    9.8   7.3   4   4      0.96   3.5e+03   -2.1   0.0    50    94   267   313   246   324 0.69 Dynamin family
AIG1                 PF04548.16   212 Avas.s022.g411.i1    -            525   2.8e-14   53.0   5.4   1   2   6.3e-15   2.2e-11   43.5   1.9     2   163    18   207    17   225 0.76 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g411.i1    -            525   2.8e-14   53.0   5.4   2   2    0.0001      0.37   10.1   0.1    77   201   296   420   272   431 0.72 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g411.i1    -            525   0.00053   20.1   0.0   1   1   3.3e-07    0.0012   18.9   0.0     3    86    20   125    18   164 0.60 50S ribosome-binding GTPase
Septin               PF00735.18   281 Avas.s022.g411.i1    -            525    0.0052   16.1   0.1   1   1   3.1e-06     0.011   15.0   0.1     3    82    15    99    13   115 0.75 Septin
Dynamin_N            PF00350.23   168 Avas.s022.g411.i1    -            525    0.0059   16.7   1.7   1   3   0.00023      0.83    9.7   0.2     2    27    20    45    19    55 0.87 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g411.i1    -            525    0.0059   16.7   1.7   2   3     0.011        38    4.3   0.0    96   147    74   133    52   162 0.75 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g411.i1    -            525    0.0059   16.7   1.7   3   3      0.32   1.1e+03   -0.5   0.0    52   103   177   229   144   232 0.58 Dynamin family
RsgA_GTPase          PF03193.16   167 Avas.s022.g411.i1    -            525     0.055   13.4   0.1   1   2    0.0001      0.37   10.7   0.0    91   162     8    90     4    95 0.66 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g411.i1    -            525     0.055   13.4   0.1   2   2      0.25     9e+02   -0.3   0.1    20    72   119   178   105   207 0.63 RsgA GTPase
AIG1                 PF04548.16   212 Avas.s032.g1.i1      -            533   5.8e-19   68.3   7.7   1   2   4.7e-18   1.4e-14   53.9   4.4     2   178    23   228    22   265 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s032.g1.i1      -            533   5.8e-19   68.3   7.7   2   2   7.6e-06     0.023   14.0   0.1    57   201   278   426   239   441 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s032.g1.i1      -            533   5.4e-05   23.3   0.0   1   1   5.3e-08   0.00016   21.7   0.0     3    91    25   136    23   168 0.61 50S ribosome-binding GTPase
ANAPC2               PF08672.11    60 Avas.s032.g1.i1      -            533    0.0011   19.4   0.8   1   2    0.0087        26    5.4   0.1    28    50   170   192   160   198 0.82 Anaphase promoting complex (APC) subunit 2
ANAPC2               PF08672.11    60 Avas.s032.g1.i1      -            533    0.0011   19.4   0.8   2   2   0.00014      0.41   11.2   0.1    33    58   245   270   234   271 0.78 Anaphase promoting complex (APC) subunit 2
DUF5622              PF18533.1     66 Avas.s032.g1.i1      -            533     0.095   12.9   0.8   1   2      0.16   4.7e+02    1.0   0.0     3    23   204   228   202   242 0.57 Domain of unknown function (DUF5622)
DUF5622              PF18533.1     66 Avas.s032.g1.i1      -            533     0.095   12.9   0.8   2   2    0.0005       1.5    9.0   0.4     8    59   462   516   461   517 0.85 Domain of unknown function (DUF5622)
CHIP_TPR_N           PF18391.1     83 Avas.s032.g1.i1      -            533      0.18   12.6   2.5   1   2       1.6   4.7e+03   -1.6   0.0    19    39   179   199   173   231 0.58 CHIP N-terminal tetratricopeptide repeat domain
CHIP_TPR_N           PF18391.1     83 Avas.s032.g1.i1      -            533      0.18   12.6   2.5   2   2   0.00012      0.36   11.6   0.6    12    51   407   452   405   482 0.60 CHIP N-terminal tetratricopeptide repeat domain
AAA_18               PF13238.6    130 Avas.s032.g1.i1      -            533      0.31   11.6   4.9   1   4    0.0026       7.7    7.1   0.0     2    69    25   107    25   141 0.59 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g1.i1      -            533      0.31   11.6   4.9   2   4     0.076   2.3e+02    2.3   0.1    14    92   146   223   144   240 0.76 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g1.i1      -            533      0.31   11.6   4.9   3   4      0.63   1.9e+03   -0.7   0.0    45   111   336   403   292   416 0.60 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g1.i1      -            533      0.31   11.6   4.9   4   4      0.19   5.8e+02    1.0   0.1    56   101   423   473   386   477 0.66 AAA domain
AIG1                 PF04548.16   212 Avas.s032.g9.i1      -            533   5.8e-19   68.3   7.7   1   2   4.7e-18   1.4e-14   53.9   4.4     2   178    23   228    22   265 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s032.g9.i1      -            533   5.8e-19   68.3   7.7   2   2   7.6e-06     0.023   14.0   0.1    57   201   278   426   239   441 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s032.g9.i1      -            533   5.4e-05   23.3   0.0   1   1   5.3e-08   0.00016   21.7   0.0     3    91    25   136    23   168 0.61 50S ribosome-binding GTPase
ANAPC2               PF08672.11    60 Avas.s032.g9.i1      -            533    0.0011   19.4   0.8   1   2    0.0087        26    5.4   0.1    28    50   170   192   160   198 0.82 Anaphase promoting complex (APC) subunit 2
ANAPC2               PF08672.11    60 Avas.s032.g9.i1      -            533    0.0011   19.4   0.8   2   2   0.00014      0.41   11.2   0.1    33    58   245   270   234   271 0.78 Anaphase promoting complex (APC) subunit 2
DUF5622              PF18533.1     66 Avas.s032.g9.i1      -            533     0.095   12.9   0.8   1   2      0.16   4.7e+02    1.0   0.0     3    23   204   228   202   242 0.57 Domain of unknown function (DUF5622)
DUF5622              PF18533.1     66 Avas.s032.g9.i1      -            533     0.095   12.9   0.8   2   2    0.0005       1.5    9.0   0.4     8    59   462   516   461   517 0.85 Domain of unknown function (DUF5622)
CHIP_TPR_N           PF18391.1     83 Avas.s032.g9.i1      -            533      0.18   12.6   2.5   1   2       1.6   4.7e+03   -1.6   0.0    19    39   179   199   173   231 0.58 CHIP N-terminal tetratricopeptide repeat domain
CHIP_TPR_N           PF18391.1     83 Avas.s032.g9.i1      -            533      0.18   12.6   2.5   2   2   0.00012      0.36   11.6   0.6    12    51   407   452   405   482 0.60 CHIP N-terminal tetratricopeptide repeat domain
AAA_18               PF13238.6    130 Avas.s032.g9.i1      -            533      0.31   11.6   4.9   1   4    0.0026       7.7    7.1   0.0     2    69    25   107    25   141 0.59 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g9.i1      -            533      0.31   11.6   4.9   2   4     0.076   2.3e+02    2.3   0.1    14    92   146   223   144   240 0.76 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g9.i1      -            533      0.31   11.6   4.9   3   4      0.63   1.9e+03   -0.7   0.0    45   111   336   403   292   416 0.60 AAA domain
AAA_18               PF13238.6    130 Avas.s032.g9.i1      -            533      0.31   11.6   4.9   4   4      0.19   5.8e+02    1.0   0.1    56   101   423   473   386   477 0.66 AAA domain
AIG1                 PF04548.16   212 Avas.s022.g374.i1    -            531   3.1e-19   69.2   5.4   1   2   5.5e-18   3.3e-14   52.7   1.3     3   168    20   213    18   251 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g374.i1    -            531   3.1e-19   69.2   5.4   2   2     3e-07    0.0018   17.7   0.2    67   195   290   417   275   436 0.69 AIG1 family
CAP_assoc_N          PF14504.6    140 Avas.s022.g374.i1    -            531      0.07   12.9   3.8   1   2   0.00042       2.5    7.8   0.6    12    96   336   421   332   441 0.87 CAP-associated N-terminal
CAP_assoc_N          PF14504.6    140 Avas.s022.g374.i1    -            531      0.07   12.9   3.8   2   2    0.0032        19    5.0   0.1     3    28   497   522   496   527 0.92 CAP-associated N-terminal
Phage_holin_4_1      PF05105.12   114 Avas.s022.g374.i1    -            531       2.5    8.3   5.2   1   2       1.7     1e+04   -3.4   0.1    56    81   135   160   135   166 0.73 Bacteriophage holin family
Phage_holin_4_1      PF05105.12   114 Avas.s022.g374.i1    -            531       2.5    8.3   5.2   2   2     8e-05      0.48   10.6   1.3    54   111   309   378   288   380 0.69 Bacteriophage holin family
AIG1                 PF04548.16   212 Avas.s050.g5.i1      -            344   1.5e-16   60.4   2.3   1   2   2.9e-19   8.5e-16   57.9   1.7     3   169    20   214    18   252 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s050.g5.i1      -            344   1.5e-16   60.4   2.3   2   2      0.16   4.7e+02   -0.1   0.0    69   100   292   322   275   341 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s050.g5.i1      -            344   1.3e-05   25.2   0.0   1   1   9.5e-09   2.8e-05   24.2   0.0     3    91    21   131    19   161 0.66 50S ribosome-binding GTPase
Septin               PF00735.18   281 Avas.s050.g5.i1      -            344    0.0022   17.3   0.0   1   1   1.2e-06    0.0037   16.6   0.0     3    74    16    92    14   112 0.71 Septin
RsgA_GTPase          PF03193.16   167 Avas.s050.g5.i1      -            344     0.024   14.6   0.0   1   2   3.6e-05      0.11   12.4   0.0    98   166    16    95     6    96 0.74 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s050.g5.i1      -            344     0.024   14.6   0.0   2   2      0.76   2.3e+03   -1.6   0.0    48    68   155   175   138   208 0.64 RsgA GTPase
Dynamin_N            PF00350.23   168 Avas.s050.g5.i1      -            344     0.025   14.6   2.9   1   3    0.0021       6.3    6.8   0.2     2    24    21    43    20    56 0.85 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s050.g5.i1      -            344     0.025   14.6   2.9   2   3    0.0011       3.2    7.8   0.1    76   120    55   102    44   129 0.66 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s050.g5.i1      -            344     0.025   14.6   2.9   3   3       1.3   3.9e+03   -2.2   0.0    59    81   185   207   166   231 0.57 Dynamin family
GTP_EFTU             PF00009.27   194 Avas.s050.g5.i1      -            344      0.05   13.2   0.0   1   1   3.8e-05      0.11   12.0   0.0     5    86    19    98    17   105 0.62 Elongation factor Tu GTP binding domain
AIG1                 PF04548.16   212 Avas.s022.g394.i1    -            529   2.4e-18   66.2   4.2   1   2   1.2e-17   4.1e-14   52.4   1.1     3   180    24   230    22   240 0.80 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g394.i1    -            529   2.4e-18   66.2   4.2   2   2   9.3e-06     0.033   13.5   0.1    67   204   291   427   273   435 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g394.i1    -            529   1.6e-05   24.9   0.0   1   1   9.6e-09   3.4e-05   23.9   0.0     3    87    25   137    23   194 0.67 50S ribosome-binding GTPase
Mab-21               PF03281.14   296 Avas.s022.g394.i1    -            529     0.004   16.5   0.2   1   1   2.1e-06    0.0076   15.6   0.2   243   289   245   291   239   299 0.89 Mab-21 protein
Dynamin_N            PF00350.23   168 Avas.s022.g394.i1    -            529      0.01   15.9   2.7   1   1   0.00015      0.52   10.3   2.7     2   110    25   132    24   238 0.70 Dynamin family
RsgA_GTPase          PF03193.16   167 Avas.s022.g394.i1    -            529     0.015   15.2   0.0   1   2   2.1e-05     0.075   12.9   0.0    90   165    12    99     2   101 0.82 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g394.i1    -            529     0.015   15.2   0.0   2   2      0.47   1.7e+03   -1.2   0.0    18    73   160   185   143   214 0.58 RsgA GTPase
AIG1                 PF04548.16   212 Avas.s022.g403.i1    -            353   2.2e-06   27.2   1.5   1   2    0.0005       2.2    7.5   0.1   130   180     6    56     1    78 0.87 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g403.i1    -            353   2.2e-06   27.2   1.5   2   2   1.7e-07   0.00076   18.9   0.1    67   205   117   254   101   262 0.71 AIG1 family
Mab-21               PF03281.14   296 Avas.s022.g403.i1    -            353     0.012   14.9   1.3   1   2   2.8e-06     0.012   14.9   0.2   243   289    71   117    65   125 0.88 Mab-21 protein
Mab-21               PF03281.14   296 Avas.s022.g403.i1    -            353     0.012   14.9   1.3   2   2      0.89     4e+03   -3.2   0.1    69    85   218   240   183   275 0.56 Mab-21 protein
DUF2877              PF11392.8    109 Avas.s022.g403.i1    -            353      0.13   13.0   0.0   1   2   0.00015      0.69   10.6   0.0    27    77   108   159   103   171 0.77 Protein of unknown function (DUF2877)
DUF2877              PF11392.8    109 Avas.s022.g403.i1    -            353      0.13   13.0   0.0   2   2      0.52   2.3e+03   -0.7   0.0    48    79   190   221   175   260 0.64 Protein of unknown function (DUF2877)
DNA_ligase_C         PF17879.1    109 Avas.s022.g403.i1    -            353      0.18   11.9   0.0   1   1   7.9e-05      0.36   10.9   0.0    41    83   241   284   212   302 0.85 DNA ligase C-terminal domain
AIG1                 PF04548.16   212 Avas.s022.g397.i1    -            532   1.2e-16   60.6   0.9   1   2   9.6e-18   5.7e-14   51.9   0.1     3   170    25   221    23   234 0.78 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g397.i1    -            532   1.2e-16   60.6   0.9   2   2   0.00082       4.9    6.4   0.1    77   203   303   429   261   437 0.70 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g397.i1    -            532    0.0043   17.1   0.0   1   1   1.5e-06    0.0092   16.1   0.0     3    86    26   132    24   166 0.59 50S ribosome-binding GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g397.i1    -            532      0.06   13.2   0.0   1   2   4.1e-05      0.24   11.3   0.0    88   123    11    46     3   101 0.70 RsgA GTPase
RsgA_GTPase          PF03193.16   167 Avas.s022.g397.i1    -            532      0.06   13.2   0.0   2   2         1   6.2e+03   -3.1   0.0    36    97   111   176   107   181 0.54 RsgA GTPase
AIG1                 PF04548.16   212 Avas.s022.g400.i1    -            532   4.1e-17   62.2   0.8   1   2   3.1e-18   1.4e-14   54.0   0.2     3   180    25   231    23   236 0.79 AIG1 family
AIG1                 PF04548.16   212 Avas.s022.g400.i1    -            532   4.1e-17   62.2   0.8   2   2    0.0016         7    5.9   0.0    77   200   303   426   278   436 0.68 AIG1 family
MMR_HSR1             PF01926.23   114 Avas.s022.g400.i1    -            532   0.00096   19.2   0.0   1   1   5.1e-07    0.0023   18.0   0.0     3    85    26   131    24   166 0.59 50S ribosome-binding GTPase
Dynamin_N            PF00350.23   168 Avas.s022.g400.i1    -            532     0.012   15.6   1.3   1   3   0.00033       1.5    8.9   0.2     2    32    26    54    25    72 0.73 Dynamin family
Dynamin_N            PF00350.23   168 Avas.s022.g400.i1    -            532     0.012   15.6   1.3   2   3    0.0071        32    4.5   0.0    82   120    67   108    61   144 0.75 Dynamin family
