# Getting manual annotations from -m
# Reading GFF file manually_edited_genes_revised.gff
# File contained:
#exon	1397
#CDS	1181
#mRNA	270
#gene	224
#rRNA	22
#transcript	3
# Collected exons for 295 transcripts
# Getting main gene annotation from -g
# Reading GFF file BRAKER2_ONT-RNA.revised.sort.gff3
ERROR: identical bounds of subfeature exon within brakerONT.m1-g9644.t1, 4408681 4409142 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4315.t1, 643880 644188 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4624.t1, 2720767 2721537 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6409.t1, 2332936 2333850 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4318.t1, 655306 655704 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10916.t1, 1376383 1376997 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4437.t1, 1412080 1412163 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4437.t1, 1419751 1420083 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13611.t1, 362204 363388 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6933.t1, 1837690 1837959 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18496.t1, 2825565 2826380 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8956.t1, 1090487 1090843 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10417.t1, 818761 819066 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4439.t1, 1447083 1447316 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12446.t1, 923788 924921 , check GFF
ERROR: identical bounds of subfeature exon within m1-g584.t1, 2880223 2880507 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4299.t1, 567735 568076 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9041.t1, 1735071 1735442 , check GFF
ERROR: identical bounds of subfeature exon within m1-g391.t1, 2122279 2123784 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6012.t1, 593962 594129 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6012.t1, 595918 596211 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14186.t1, 1850764 1852041 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17313.t1, 2270821 2271005 , check GFF
ERROR: identical bounds of subfeature exon within m1-g17313.t1, 2271169 2271529 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9844.t1, 1719497 1719637 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9844.t1, 1720067 1720489 , check GFF
ERROR: identical bounds of subfeature exon within m1-g895.t1, 391899 393014 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14786.t1, 702373 702687 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11907.t1, 48189 48407 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18210.t1, 1256605 1257144 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16375.t1, 2393649 2394164 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8957.t1, 1091129 1091398 , check GFF
ERROR: identical bounds of subfeature exon within m1-g7426.t1, 3590421 3591629 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18495.t1, 2824529 2824768 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4307.t1, 614436 615017 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4636.t1, 2832383 2832868 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13255.t1, 2476227 2477108 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18445.t1, 2388363 2388713 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4336.t1, 751582 751918 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4336.t1, 752135 752850 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14020.t1, 1161955 1162194 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10918.t1, 1382016 1382438 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11909.t1, 69688 69978 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14984.t1, 1450672 1452255 , check GFF
ERROR: identical bounds of subfeature exon within m1-g3191.t1, 2667122 2668201 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6829.t1, 1515246 1517159 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5578.t1, 3607830 3608036 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5578.t1, 3608597 3608887 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4248.t2, 256548 257750 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4248.t3, 256548 258584 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4248.t4, 256548 257132 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4248.t1, 256548 257477 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11910.t1, 78876 79619 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5391.t1, 2644422 2644752 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5391.t1, 2647371 2647471 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4482.t1, 1743316 1743952 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4482.t1, 1744078 1744085 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13873.t1, 268999 269384 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13873.t1, 271059 271851 , check GFF
ERROR: identical bounds of subfeature exon within m1-g887.t1, 367524 368105 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18488.t1, 2728173 2728505 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4644.t1, 2947240 2947469 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4644.t1, 2950452 2950620 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4644.t1, 2950687 2950725 , check GFF
ERROR: identical bounds of subfeature exon within m1-g7367.t1, 3324387 3325217 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9771.t1, 1175289 1175346 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9771.t1, 1175451 1175632 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8844.t1, 506843 507139 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5792.t1, 513858 514481 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4440.t1, 1447415 1447723 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8931.t1, 906929 907068 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8931.t1, 907221 907386 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10867.t1, 1239404 1240504 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5968.t1, 265697 265987 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2562.t1, 523362 523853 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4073.t1, 1473772 1474203 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11673.t1, 3464234 3465331 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15328.t1, 362059 362550 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5676.t1, 4066606 4067190 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8515.t1, 7702473 7703132 , check GFF
ERROR: identical bounds of subfeature exon within m1-g579.t1, 2843629 2844444 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14443.t1, 2795726 2796076 , check GFF
ERROR: identical bounds of subfeature exon within m1-g8948.t1, 1045488 1045910 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5787.t1, 489797 490183 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4664.t1, 3080589 3081032 , check GFF
ERROR: identical bounds of subfeature exon within m1-g885.t1, 364663 365253 , check GFF
ERROR: identical bounds of subfeature exon within m1-g10026.t1, 2481776 2482810 , check GFF
ERROR: identical bounds of subfeature exon within m1-g12597.t1, 1487436 1487741 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6408.t1, 2332645 2332911 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16027.t1, 776238 776604 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16027.t1, 777320 777492 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4341.t1, 819743 820138 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5573.t1, 3569752 3570072 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14112.t1, 1537242 1538078 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2077.t1, 988900 989328 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4300.t1, 568101 568538 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4460.t1, 1578407 1578410 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4460.t1, 1578555 1578787 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6957.t1, 2022005 2022328 , check GFF
ERROR: identical bounds of subfeature exon within m1-g15572.t1, 1028736 1029974 , check GFF
ERROR: identical bounds of subfeature exon within m1-g886.t1, 366287 366928 , check GFF
ERROR: identical bounds of subfeature exon within m1-g16893.t1, 785407 785871 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9005.t1, 1357695 1358012 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2150.t1, 1505051 1505392 , check GFF
ERROR: identical bounds of subfeature exon within m1-g6017.t1, 622995 623675 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5986.t1, 408789 409115 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5831.t1, 774681 774715 , check GFF
ERROR: identical bounds of subfeature exon within m1-g5831.t1, 775670 776126 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14447.t1, 2833224 2833985 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2559.t1, 516330 516851 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11968.t1, 461640 462620 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13605.t1, 325518 327761 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4266.t1, 373650 373689 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4266.t1, 373837 374549 , check GFF
ERROR: identical bounds of subfeature exon within m1-g9866.t1, 1867162 1868019 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18498.t1, 2832020 2832310 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18866.t1, 233169 234407 , check GFF
ERROR: identical bounds of subfeature exon within m1-g11922.t1, 154877 155359 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13805.t1, 1157542 1157745 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13805.t1, 1158130 1158231 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2117.t1, 1307381 1307717 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2117.t1, 1307846 1308177 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4272.t1, 404710 405564 , check GFF
ERROR: identical bounds of subfeature exon within m1-g13006.t1, 1403911 1404186 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2114.t1, 1206586 1206915 , check GFF
ERROR: identical bounds of subfeature exon within m1-g18618.t1, 3858925 3860064 , check GFF
ERROR: identical bounds of subfeature exon within m1-g2149.t1, 1494444 1494782 , check GFF
ERROR: identical bounds of subfeature exon within m1-g4638.t1, 2844653 2845459 , check GFF
ERROR: identical bounds of subfeature exon within m1-g14071.t1, 1394475 1394831 , check GFF
# File contained:
#exon	55839
#CDS	55587
#intron	35091
#mRNA	20496
#stop_codon	20459
#start_codon	20456
#gene	19266
# Collected exons for 20496 transcripts
# 252 errors detected
# Reading GFF file PINFISH_stranded.gff
# File contained:
#exon	65808
#transcript	29646
# Collected exons for 29646 transcripts
# Reading GFF file PINFISH_stepwise.gff
# File contained:
#exon	53778
#transcript	31209
# Collected exons for 31209 transcripts
# Reading GFF file PINFISH_pipeline.gff
# File contained:
#exon	69542
#transcript	41303
# Collected exons for 41303 transcripts
# Reading GFF file STRG_PE-RNA_stranded.gff
# File contained:
#exon	62931
#transcript	34248
# Collected exons for 34248 transcripts
# Reading GFF file STRG_PE-RNA_hisat2.gff
# File contained:
#exon	98640
#transcript	31605
# Collected exons for 31605 transcripts
# Reading GFF file STRG_ONT-RNA.gff
# File contained:
#exon	48400
#transcript	20173
# Collected exons for 20173 transcripts
# Reading GFF file STRG_ONT-RNA_minimap2.gff
# File contained:
#exon	74186
#transcript	27459
# Collected exons for 27459 transcripts
# Reading annotation table from Avas_manual_annotation_2022-02-11.fix.tsv
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.81.1 in Avas.s001.g59.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.90.1 in Avas.s001.g67.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.91.2 in Avas.s001.g68.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.96.1 in Avas.s001.g74.i1
INFORMATION: cannot find alternate isoform brakerONT.jg3409.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg3454.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg3455.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE125.t1 in Avas.s001.g269.i1
REVERSE flag found: forcing reverse strand - for MSE126.t1 in Avas.s001.g271.i1
REVERSE flag found: forcing reverse strand - for MSE127.t1 in Avas.s001.g273.i1
REVERSE flag found: forcing reverse strand - for MSE128.t1 in Avas.s001.g274.i1
FORWARD flag found: forcing forward strand + for MSE129.t1 in Avas.s001.g275.i1
FORWARD flag found: forcing forward strand + for MSE130.t1 in Avas.s001.g276.i1
FORWARD flag found: forcing forward strand + for MSE131.t1 in Avas.s001.g278.i1
FORWARD flag found: forcing forward strand + for MSE132.t1 in Avas.s001.g280.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.275.1 in Avas.s001.g282.i1
FORWARD flag found: forcing forward strand + for MSE133.t1 in Avas.s001.g283.i1
REVERSE flag found: forcing reverse strand - for MSE134.t1 in Avas.s001.g286.i1
REVERSE flag found: forcing reverse strand - for MSE135.t1 in Avas.s001.g287.i1
REVERSE flag found: forcing reverse strand - for MSE136.t1 in Avas.s001.g289.i1
FORWARD flag found: forcing forward strand + for MSE137.t1 in Avas.s001.g291.i1
REVERSE flag found: forcing reverse strand - for MSE138.t1 in Avas.s001.g292.i1
REVERSE flag found: forcing reverse strand - for MSE139.t1 in Avas.s001.g294.i1
REVERSE flag found: forcing reverse strand - for MSE140.t1 in Avas.s001.g299.i1
FORWARD flag found: forcing forward strand + for MSE141.t1 in Avas.s001.g301.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.60.1 in Avas.s001.g310.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.62.1 in Avas.s001.g311.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.300.1 in Avas.s001.g322.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.301.1 in Avas.s001.g324.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.305.1 in Avas.s001.g330.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.307.1 in Avas.s001.g332.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_c0c07465-0e8a-481d-8526-4d91a7e00bbb in Avas.s001.g395.i1
REVERSE flag found: forcing reverse strand - for MSE231.t1 in Avas.s001.g450.i1
INFORMATION: cannot find alternate isoform brakerONT.jg3633.t1, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.424.1 in Avas.s001.g483.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.441.1 in Avas.s001.g503.i1
INFORMATION: cannot find alternate isoform brakerONT.jg3682.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.445.1 in Avas.s001.g505.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.451.1 in Avas.s001.g511.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.458.1 in Avas.s001.g528.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.475.1 in Avas.s001.g545.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.486.1 in Avas.s001.g556.i1
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_485cb50e-dc8a-42c6-8bf6-81e743bc86bf in Avas.s001.g563.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.524.1 in Avas.s001.g602.i1
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_65605b85-78ad-49a4-aaa0-495556d44088 in Avas.s001.g611.i1
FORWARD flag found: forcing forward strand + for MSE143.t1 in Avas.s001.g632.i1
REVERSE flag found: forcing reverse strand - for PE-RNA_hisat2_NS_tx.1743.1 in Avas.s001.g656.i1
REVERSE flag found: forcing reverse strand - for fs_on_scaffold_001_1 in Avas.s001.g709.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.588.1 in Avas.s001.g722.i1
REVERSE flag found: forcing reverse strand - for fs_on_scaffold_001_2 in Avas.s001.g724.i1
INFORMATION: cannot find alternate isoform brakerONT.jg3903.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_3e886e67-f3b4-4320-8f76-d82d0e202e1b in Avas.s001.g753.i1
REVERSE flag found: forcing reverse strand - for PIN_stepwise_transcript_b1e3fe57-284f-4e01-82a7-85023f03f34f in Avas.s001.g753.i2
INFORMATION: cannot find alternate isoform brakerONT.jg3945.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg3966.t2, trying in main instead
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_1e781947-9c0e-4eed-8138-cece34022274 in Avas.s001.g815.i1
FORWARD flag found: forcing forward strand + for PIN_stepwise_transcript_2cc40440-5628-4c3d-b428-0543233d70c9 in Avas.s001.g845.i1
FORWARD flag found: forcing forward strand + for PIN_stepwise_transcript_b8b3d153-6036-4c7e-86c9-9818d679ccb0 in Avas.s001.g845.i2
INFORMATION: cannot find alternate isoform brakerONT.jg4011.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4078.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4097.t6, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4137.t2, trying in main instead
FORWARD flag found: forcing forward strand + for MSE001.t1 in Avas.s001.g1015.i1
REVERSE flag found: forcing reverse strand - for MSE002.t1 in Avas.s001.g1038.i1
REVERSE flag found: forcing reverse strand - for MSE003.t1 in Avas.s001.g1040.i1
INFORMATION: cannot find alternate isoform brakerONT.jg4245.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4245.t4, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4245.t5, trying in main instead
FORWARD flag found: forcing forward strand + for MSE004.t1 in Avas.s001.g1103.i1
INFORMATION: cannot find alternate isoform brakerONT.jg4276.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4315.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4333.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4335.t2, trying in main instead
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_7efe8d1e-e0e9-4746-a306-23362f8209b7 in Avas.s001.g1236.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_d4ef0b3f-3338-42c6-a1aa-b5fef3d70b32 in Avas.s001.g1237.i1
INFORMATION: cannot find alternate isoform brakerONT.jg4413.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4435.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4561.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4566.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4629.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4700.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4710.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4729.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4738.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4743.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4759.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4761.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4777.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4803.t2, trying in main instead
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.2390.1 in Avas.s001.g1642.i1
INFORMATION: cannot find alternate isoform brakerONT.jg4819.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4820.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4866.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4866.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4877.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4895.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg4929.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5165.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5172.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5177.t1, trying in main instead
FORWARD flag found: forcing forward strand + for MSE005.t1 in Avas.s001.g2008.i1
FORWARD flag found: forcing forward strand + for MSE006.t1 in Avas.s001.g2009.i1
INFORMATION: cannot find alternate isoform brakerONT.jg5218.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE007.t1 in Avas.s001.g2066.i1
REVERSE flag found: forcing reverse strand - for MSE008.t1 in Avas.s001.g2070.i1
REVERSE flag found: forcing reverse strand - for MSE009.t1 in Avas.s001.g2071.i1
INFORMATION: cannot find alternate isoform brakerONT.jg5293.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5317.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5326.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5336.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5342.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg5357.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg14735.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.1675.1 in Avas.s002.g158.i1
REVERSE flag found: forcing reverse strand - for PIN_stepwise_transcript_2212aed8-32f9-4bc6-ae01-1ac87408a0af in Avas.s002.g178.i1
INFORMATION: cannot find alternate isoform brakerONT.jg14865.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg14866.t2, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1770.1 in Avas.s002.g298.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1781.1 in Avas.s002.g311.i1
FORWARD flag found: forcing forward strand + for PIN_5TSL_stranded_transcript_df7ff21e-5753-4cba-b842-e1c2a8dfc9e2 in Avas.s002.g340.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.1817.1 in Avas.s002.g350.i1
INFORMATION: cannot find alternate isoform brakerONT.jg15029.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg15031.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg15064.t1, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1852.1 in Avas.s002.g410.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1893.1 in Avas.s002.g461.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1897.1 in Avas.s002.g466.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.1937.1 in Avas.s002.g494.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.1939.1 in Avas.s002.g496.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.1947.1 in Avas.s002.g504.i1
INFORMATION: cannot find alternate isoform brakerONT.jg15158.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg15173.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for PIN_5TSL_stranded_transcript_42a1eb4f-308c-4e1f-8b24-c0546a03ccc3 in Avas.s002.g859.i1
REVERSE flag found: forcing reverse strand - for MSE010.t1 in Avas.s002.g901.i1
FORWARD flag found: forcing forward strand + for MSE011.t1 in Avas.s002.g908.i1
FORWARD flag found: forcing forward strand + for PE-RNA_hisat2_NS_tx.1297.1 in Avas.s002.g930.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.2275.1 in Avas.s003.g32.i1
REVERSE flag found: forcing reverse strand - for PIN_pipeline_transcript_83499fda-e661-405d-89e7-bdf00b2edfca in Avas.s003.g43.i1
INFORMATION: cannot find alternate isoform brakerONT.jg9845.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9887.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9889.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.2354.1 in Avas.s003.g122.i1
INFORMATION: cannot find alternate isoform brakerONT.jg9916.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9930.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9931.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9939.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg9952.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.2396.1 in Avas.s003.g170.i1
REVERSE flag found: forcing reverse strand - for MSE012.t1 in Avas.s003.g171.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.2398.1 in Avas.s003.g175.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.2522.1 in Avas.s003.g319.i1
INFORMATION: cannot find alternate isoform brakerONT.jg10217.t3, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg10262.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg10382.t1, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.2917.1 in Avas.s003.g651.i1
INFORMATION: cannot find alternate isoform brakerONT.jg10432.t2, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg10572.t1, trying in main instead
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3074.1 in Avas.s003.g812.i1
INFORMATION: cannot find alternate isoform brakerONT.jg10588.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg10592.t1, trying in main instead
INFORMATION: cannot find alternate isoform brakerONT.jg10612.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for MSE144.t1 in Avas.s003.g852.i1
INFORMATION: cannot find alternate isoform brakerONT.jg10634.t2, trying in main instead
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3149.1 in Avas.s003.g871.i1
FORWARD flag found: forcing forward strand + for MSE013.t1 in Avas.s003.g881.i1
FORWARD flag found: forcing forward strand + for MSE014.t1 in Avas.s003.g886.i1
FORWARD flag found: forcing forward strand + for MSE015.t1 in Avas.s003.g887.i1
FORWARD flag found: forcing forward strand + for MSE016.t1 in Avas.s003.g888.i1
FORWARD flag found: forcing forward strand + for MSE017.t1 in Avas.s003.g889.i1
REVERSE flag found: forcing reverse strand - for ONT-RNA_minimap2_tx.3181.1 in Avas.s003.g892.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3212.1 in Avas.s003.g921.i1
FORWARD flag found: forcing forward strand + for ONT-RNA_minimap2_tx.3213.1 in Avas.s003.g922.i1
